Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"12","32510","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","12","","SC201","A","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","25","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"12","32511","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","1","","SC201","A","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","25","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"12","32512","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","25","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"12","33045","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","25","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"17","31695","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","8","A1","SC167","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"17","31696","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","4","B1","SC167","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"17","31697","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","1","C1","SC167","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","13","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"17","31698","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","8","A3","SC170","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","13","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"17","31699","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","4","B3","SC170","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","13","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"17","31700","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","1","C3","SC170","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","13","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"27","31701","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","2","L1","SC172","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","3","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"27","31702","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","1","M1","SC172","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","3","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"27","31703","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","N1","SC172","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","3","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
