Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"23","32510","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","2","","SC201","A","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","25","2","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"23","32511","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","25","2","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"23","32512","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","25","2","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"23","33045","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","25","2","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"29","31695","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","A1","SC167","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","1","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31696","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","1","B1","SC167","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","1","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31697","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","C1","SC167","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","1","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31698","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","A3","SC170","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","1","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"29","31699","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","1","B3","SC170","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","1","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"29","31700","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","C3","SC170","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","1","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"29","31701","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","1","L1","SC172","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","1","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31702","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","M1","SC172","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","1","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31703","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","N1","SC172","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","1","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"29","31704","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","1","L3","SC182","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","1","2","SYNC","27-JUN-22","06-AUG-22","0","0","0","RECITATION "
"29","31705","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","0","M3","SC182","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","1","2","SYNC","27-JUN-22","06-AUG-22","0","0","0","RECITATION "
"29","31706","CS","120G","INTRO INFO LITERACY & RESEARCH","0","30","0","N3","SC182","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","1","2","SYNC","27-JUN-22","06-AUG-22","0","0","0","RECITATION "
"29","33050","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","D1","SC167","30","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","30","1","1","ASYN","16-MAY-22","25-JUN-22","0","0","0"
"29","33051","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","D3","SC170","C","I","V","SYNC","Y"," 600- 650PM","M","WC8","","O","GUPTA,REKHA","","30","1","1","SYNC","16-MAY-22","25-JUN-22","0","0","0"
"29","33052","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","P1","SC172","30","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","30","1","2","ASYN","27-JUN-22","06-AUG-22","0","0","0"
"29","33053","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","0","P3","SC182","C","I","V","SYNC","Y"," 600- 650PM","M","WC8","","O","GUPTA,REKHA","","30","1","2","SYNC","27-JUN-22","06-AUG-22","0","0","0"
"21","32267","CS","121G","INTR INFO LIT/RSCH FOR SCI (D)","3","30","5","A1","SC208","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,AJAY","","30","9","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"21","32268","CS","121G","INTR INFO LIT/RSCH FOR SCI (D)","3","30","4","B1","SC208","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,AJAY","","30","9","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"21","32269","CS","121G","INTR INFO LIT/RSCH FOR SCI (D)","3","30","0","C1","SC208","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,AJAY","","30","9","1","ASYN","16-MAY-22","25-JUN-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
"21","32270","CS","121G","INTR INFO LIT/RSCH SCI REC (D)","0","30","5","A3","SC191","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,AJAY","","30","9","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"21","32271","CS","121G","INTR INFO LIT/RSCH SCI REC (D)","0","30","4","B3","SC191","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,AJAY","","30","9","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"21","32272","CS","121G","INTR INFO LIT/RSCH SCI REC (D)","0","30","0","C3","SC191","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,AJAY","","30","9","1","SYNC","16-MAY-22","25-JUN-22","0","0","0","RECITATION "
"27","32273","CS","121G","INTR INFO LIT/RSCH FOR SCI (C)","3","30","2","D1","SC183","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,AJAY","","30","3","2","ASYN","27-JUN-22","06-AUG-22","0","0","0","LECTURE.  STUDENT MUST ALSO REGISTER FOR RECITATION "
