Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"1","21786","CS","121G","INTRO INFO LIT & RSCH-SCI REC","0","25","24","Q3","","C","","A","REC","Y","1100-1150AM","T","DRGS","1105","","GUPTA,REKHA","","","24","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"20","21787","CS","121G","INTRO INFO LIT & RSCH-SCI REC","0","25","5","Q3","","C","","A","REC","Y"," 230- 320PM","R","DRGS","1105","","GUPTA,REKHA","","","5","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"25","21788","CS","121G","INTRO INFO LIT & RSCH-SCI REC","0","25","0","Q3","","C","","A","TRAD","N"," 900- 950AM","R","DRGS","1105","","GUPTA,REKHA","","","0","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"25","21789","CS","121G","INTRO INFO LIT & RSCH-SCI REC","0","25","0","Q3","","C","","A","TRAD","N"," 330- 420PM","R","DRGS","1105","","GUPTA,REKHA","","","0","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"4","22065","CS","121G","INTRO INFO LIT & RSCH-SCI REC","0","25","21","Q3","","C","","A","REC","Y"," 130- 220PM","R","DRGS","1105","","GUPTA,REKHA","","","21","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"0","22214","CS","121G","INTRO INFO LIT & RSCH FOR SCI","3","25","25","","","30","","A","TRAD","Y"," 420- 535PM","MW","ECSB","","","GUPTA,AJAY","","","25","1","CLAS","07-JAN-23","24-APR-23","0","0","0"
"0","23748","CS","121G","INTR INFO LITERACY & RSRCH (D)","3","40","34","A1","SC055","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,AJAY","","40","40","1","ASYN","07-JAN-23","24-APR-23","0","0","0"
"0","23749","CS","121G","INTR INFO LITERACY & RSRCH (D)","3","20","4","B1","SC055","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,AJAY","","40","40","1","ASYN","07-JAN-23","24-APR-23","0","0","0"
"0","23750","CS","121G","INTR INFO LITERACY & RSRCH (D)","3","20","2","C1","SC055","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,AJAY","","40","40","1","ASYN","07-JAN-23","24-APR-23","0","0","0"
"0","23751","CS","121G","INTR INFO LIT RSCH SCI REC (D)","0","20","18","A3","SC059","C","I","B","SYNC","Y"," 545- 635PM","W","WC2","","","GUPTA,AJAY","","20","20","1","SYNC","07-JAN-23","24-APR-23","0","0","0"
