Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"25","32321","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","25","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"25","32322","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","25","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"25","32323","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","25","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"25","32812","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","25","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"30","31559","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","A1","SC167","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"30","31560","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","B1","SC167","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"30","31561","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","C1","SC167","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
"30","31562","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","A3","SC170","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","0","1","SYNC","15-MAY-23","24-JUN-23","0","0","0"
"30","31563","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","B3","SC170","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","0","1","SYNC","15-MAY-23","24-JUN-23","0","0","0"
"30","31564","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","0","C3","SC170","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","0","1","SYNC","15-MAY-23","24-JUN-23","0","0","0"
"30","31565","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","L1","SC172","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","0","2","ASYN","26-JUN-23","05-AUG-23","0","0","0"
"30","31566","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","M1","SC172","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","0","2","ASYN","26-JUN-23","05-AUG-23","0","0","0"
"30","31567","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","N1","SC172","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","0","2","ASYN","26-JUN-23","05-AUG-23","0","0","0"
"30","31568","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","0","L3","SC182","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","0","2","SYNC","26-JUN-23","05-AUG-23","0","0","0"
"30","31569","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","0","M3","SC182","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","0","2","SYNC","26-JUN-23","05-AUG-23","0","0","0"
"30","31570","CS","120G","INTRO INFO LITERACY & RESEARCH","0","30","0","N3","SC182","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","0","2","SYNC","26-JUN-23","05-AUG-23","0","0","0"
"30","32817","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","0","D1","SC167","30","I","V","ASYN","Y","HOURS ARR","","WEB8","","","GUPTA,REKHA","","30","0","1","ASYN","15-MAY-23","24-JUN-23","0","0","0"
